[2026-05-02T23:46:12.421+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-05-02T23:46:12.429+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:46:08.027863+00:00 [queued]>
[2026-05-02T23:46:12.433+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:46:08.027863+00:00 [queued]>
[2026-05-02T23:46:13.252+0000] {logging_mixin.py:190} INFO - Sent 255
[2026-05-02T23:46:13.292+0000] {logging_mixin.py:190} INFO - Sent 144
[2026-05-02T23:46:13.312+0000] {logging_mixin.py:190} INFO - Sent 380
[2026-05-02T23:46:13.355+0000] {logging_mixin.py:190} INFO - Sent 132
[2026-05-02T23:46:13.366+0000] {logging_mixin.py:190} INFO - Sent 333
[2026-05-02T23:46:13.373+0000] {logging_mixin.py:190} INFO - Sent 86
[2026-05-02T23:46:13.380+0000] {logging_mixin.py:190} INFO - Sent 250
[2026-05-02T23:46:13.388+0000] {logging_mixin.py:190} INFO - Sent 274
[2026-05-02T23:46:13.395+0000] {logging_mixin.py:190} INFO - Sent 257
[2026-05-02T23:46:13.401+0000] {logging_mixin.py:190} INFO - Sent 9
[2026-05-02T23:46:13.408+0000] {logging_mixin.py:190} INFO - Sent 468
[2026-05-02T23:46:13.415+0000] {logging_mixin.py:190} INFO - Sent 382
[2026-05-02T23:46:13.422+0000] {logging_mixin.py:190} INFO - Sent 322
[2026-05-02T23:46:13.431+0000] {logging_mixin.py:190} INFO - Sent 84
[2026-05-02T23:46:13.438+0000] {logging_mixin.py:190} INFO - Sent 526
[2026-05-02T23:46:13.445+0000] {logging_mixin.py:190} INFO - Sent 500
[2026-05-02T23:46:13.452+0000] {logging_mixin.py:190} INFO - Sent 561
[2026-05-02T23:46:13.459+0000] {logging_mixin.py:190} INFO - Sent 332
[2026-05-02T23:46:13.465+0000] {logging_mixin.py:190} INFO - Sent 110
[2026-05-02T23:46:13.472+0000] {logging_mixin.py:190} INFO - Sent 565
[2026-05-02T23:46:13.478+0000] {logging_mixin.py:190} INFO - Sent 203
[2026-05-02T23:46:13.484+0000] {logging_mixin.py:190} INFO - Sent 153
[2026-05-02T23:46:13.491+0000] {logging_mixin.py:190} INFO - Sent 441
[2026-05-02T23:46:13.498+0000] {logging_mixin.py:190} INFO - Sent 182
[2026-05-02T23:46:13.504+0000] {logging_mixin.py:190} INFO - Sent 140
[2026-05-02T23:46:13.512+0000] {logging_mixin.py:190} INFO - Sent 77
[2026-05-02T23:46:13.518+0000] {logging_mixin.py:190} INFO - Sent 408
[2026-05-02T23:46:13.527+0000] {logging_mixin.py:190} INFO - Sent 549
[2026-05-02T23:46:13.534+0000] {logging_mixin.py:190} INFO - Sent 530
[2026-05-02T23:46:13.540+0000] {logging_mixin.py:190} INFO - Sent 163
[2026-05-02T23:46:13.548+0000] {logging_mixin.py:190} INFO - Sent 503
[2026-05-02T23:46:13.555+0000] {logging_mixin.py:190} INFO - Sent 148
[2026-05-02T23:46:13.562+0000] {logging_mixin.py:190} INFO - Sent 486
[2026-05-02T23:46:13.569+0000] {logging_mixin.py:190} INFO - Sent 75
[2026-05-02T23:46:13.575+0000] {logging_mixin.py:190} INFO - Sent 249
[2026-05-02T23:46:13.582+0000] {logging_mixin.py:190} INFO - Sent 238
[2026-05-02T23:46:13.589+0000] {logging_mixin.py:190} INFO - Sent 265
[2026-05-02T23:46:13.589+0000] {python.py:240} INFO - Done. Returned value was: None
[2026-05-02T23:46:13.592+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2026-05-02T23:46:13.593+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=message_queue_dag, task_id=add_message_queue, run_id=manual__2026-05-02T23:46:08.027863+00:00, execution_date=20260502T234608, start_date=20260502T234612, end_date=20260502T234613
[2026-05-02T23:46:13.609+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2026-05-02T23:46:13.619+0000] {taskinstance.py:3900} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2026-05-02T23:46:13.619+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
