[2026-05-02T23:42:40.913+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-05-02T23:42:40.921+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:42:36.455860+00:00 [queued]>
[2026-05-02T23:42:40.926+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:42:36.455860+00:00 [queued]>
[2026-05-02T23:42:41.617+0000] {logging_mixin.py:190} INFO - Sent 196
[2026-05-02T23:42:41.623+0000] {logging_mixin.py:190} INFO - Sent 11
[2026-05-02T23:42:41.630+0000] {logging_mixin.py:190} INFO - Sent 395
[2026-05-02T23:42:41.636+0000] {logging_mixin.py:190} INFO - Sent 177
[2026-05-02T23:42:41.642+0000] {logging_mixin.py:190} INFO - Sent 538
[2026-05-02T23:42:41.649+0000] {logging_mixin.py:190} INFO - Sent 482
[2026-05-02T23:42:41.657+0000] {logging_mixin.py:190} INFO - Sent 235
[2026-05-02T23:42:41.664+0000] {logging_mixin.py:190} INFO - Sent 255
[2026-05-02T23:42:41.671+0000] {logging_mixin.py:190} INFO - Sent 144
[2026-05-02T23:42:41.679+0000] {logging_mixin.py:190} INFO - Sent 380
[2026-05-02T23:42:41.722+0000] {logging_mixin.py:190} INFO - Sent 132
[2026-05-02T23:42:41.733+0000] {logging_mixin.py:190} INFO - Sent 333
[2026-05-02T23:42:41.743+0000] {logging_mixin.py:190} INFO - Sent 86
[2026-05-02T23:42:41.749+0000] {logging_mixin.py:190} INFO - Sent 250
[2026-05-02T23:42:41.755+0000] {logging_mixin.py:190} INFO - Sent 274
[2026-05-02T23:42:41.765+0000] {logging_mixin.py:190} INFO - Sent 257
[2026-05-02T23:42:41.771+0000] {logging_mixin.py:190} INFO - Sent 9
[2026-05-02T23:42:41.778+0000] {logging_mixin.py:190} INFO - Sent 468
[2026-05-02T23:42:41.784+0000] {logging_mixin.py:190} INFO - Sent 382
[2026-05-02T23:42:41.790+0000] {logging_mixin.py:190} INFO - Sent 322
[2026-05-02T23:42:41.798+0000] {logging_mixin.py:190} INFO - Sent 84
[2026-05-02T23:42:41.804+0000] {logging_mixin.py:190} INFO - Sent 526
[2026-05-02T23:42:41.811+0000] {logging_mixin.py:190} INFO - Sent 500
[2026-05-02T23:42:41.817+0000] {logging_mixin.py:190} INFO - Sent 561
[2026-05-02T23:42:41.823+0000] {logging_mixin.py:190} INFO - Sent 332
[2026-05-02T23:42:41.830+0000] {logging_mixin.py:190} INFO - Sent 110
[2026-05-02T23:42:41.836+0000] {logging_mixin.py:190} INFO - Sent 565
[2026-05-02T23:42:41.842+0000] {logging_mixin.py:190} INFO - Sent 203
[2026-05-02T23:42:41.848+0000] {logging_mixin.py:190} INFO - Sent 153
[2026-05-02T23:42:41.854+0000] {logging_mixin.py:190} INFO - Sent 441
[2026-05-02T23:42:41.861+0000] {logging_mixin.py:190} INFO - Sent 182
[2026-05-02T23:42:41.868+0000] {logging_mixin.py:190} INFO - Sent 140
[2026-05-02T23:42:41.874+0000] {logging_mixin.py:190} INFO - Sent 77
[2026-05-02T23:42:41.881+0000] {logging_mixin.py:190} INFO - Sent 408
[2026-05-02T23:42:41.887+0000] {logging_mixin.py:190} INFO - Sent 549
[2026-05-02T23:42:41.895+0000] {logging_mixin.py:190} INFO - Sent 530
[2026-05-02T23:42:41.902+0000] {logging_mixin.py:190} INFO - Sent 163
[2026-05-02T23:42:41.910+0000] {logging_mixin.py:190} INFO - Sent 503
[2026-05-02T23:42:41.916+0000] {logging_mixin.py:190} INFO - Sent 148
[2026-05-02T23:42:41.923+0000] {logging_mixin.py:190} INFO - Sent 486
[2026-05-02T23:42:41.930+0000] {logging_mixin.py:190} INFO - Sent 75
[2026-05-02T23:42:41.936+0000] {logging_mixin.py:190} INFO - Sent 249
[2026-05-02T23:42:41.944+0000] {logging_mixin.py:190} INFO - Sent 238
[2026-05-02T23:42:41.950+0000] {logging_mixin.py:190} INFO - Sent 265
[2026-05-02T23:42:41.950+0000] {python.py:240} INFO - Done. Returned value was: None
[2026-05-02T23:42:41.954+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2026-05-02T23:42:41.954+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=message_queue_dag, task_id=add_message_queue, run_id=manual__2026-05-02T23:42:36.455860+00:00, execution_date=20260502T234236, start_date=20260502T234240, end_date=20260502T234241
[2026-05-02T23:42:41.971+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2026-05-02T23:42:41.980+0000] {taskinstance.py:3900} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2026-05-02T23:42:41.981+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
